ASIN,GROUP,FORMAT,TITLE,AUTHOR,PUBLISHER,,,,,,,,,
1250150183,book,hardcover,The Swamp: Washington's Murky Pool of Corruption and Cronyism and How Trump Can Drain It,Eric Bolling,St. Martin's Press,,,,,,,,,
778319997,book,hardcover,"Rise and Shine, Benedict Stone: A Novel",Phaedra Patrick,Park Row Books,,,,,,,,,
1608322564,book,hardcover,Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,Greenleaf Book Group Press,,,,,,,,,
310325331,book,hardcover,Christian Apologetics: An Anthology of Primary Sources,"Khaldoun A. Sweis, Chad V. Meister",Zondervan,,,,,,,,,
312616295,book,hardcover,Gravity: How the Weakest Force in the Universe Shaped Our Lives,Brian Clegg,St. Martin's Press,,,,,,,,,
1250066190,book,hardcover,Glass Houses: A Novel (Chief Inspector Gamache Novel),Louise Penny,Minotaur Books,,,,,,,,,
1592643124,book,hardcover,Reference Guide to the Talmud,Rabbi Adin Steinsaltz,The Toby Press,,,,,,,,,
1849962839,book,hardcover,Induction Motor Control Design (Advances in Industrial Control),"Riccardo Marino, Patrizio Tomei, Cristiano M. Verrelli",Springer,,,,,,,,,
022640014X,book,hardcover,"The Diversity Bargain: And Other Dilemmas of Race, Admissions, and Meritocracy at Elite Universities",Natasha K. Warikoo,University Of Chicago Press,,,,,,,,,
9176374343,book,hardcover,White Fang (Wisehouse Classics - With Original Illustrations),Jack London,Wisehouse Classics,,,,,,,,,
1599906953,book,hardcover,Throne of Glass,Sarah J. Maas,Bloomsbury USA Childrens,,,,,,,,,
9176374408,book,hardcover,Importance of Being Earnest (Wisehouse Classics Edition) (2016),Oscar Wilde,Wisehouse Classics,,,,,,,,,
3462046543,book,hardcover,"Ein Laden, der Glück verkauft",Beth Hoffman,Kiepenheuer & Witsch Gmbh,,,,,,,,,
262035219,book,hardcover,Free Innovation (MIT Press),Eric von Hippel,The MIT Press,,,,,,,,,
735214468,book,hardcover,In Trump We Trust: E Pluribus Awesome!,Ann Coulter,Sentinel,,,,,,,,,
393292630,book,hardcover,The Thin Light of Freedom: The Civil War and Emancipation in the Heart of America,Edward L. Ayers,W. W. Norton & Company,,,,,,,,,
727886274,book,hardcover,Into the Grey: A feline-filled academic mystery (A Dulcie Schwartz Cat Mystery),Clea Simon,Severn House Publishers,,,,,,,,,
1845353498,book,hardcover,The Beano Annual 2009,Various,Thomson,,,,,,,,,
1405281197,book,hardcover,Official Lego (R) Star Wars Annual 2016,Egmont UK Ltd,Egmont Books Ltd,,,,,,,,,
1405213930,book,hardcover,Bob the Builder Annual 2005,Anon,Egmont Books Ltd,,,,,,,,,
385345933,book,hardcover,Bobby Flay Fit: 200 Recipes for a Healthy Lifestyle,"Bobby Flay, Stephanie Banyas, Sally Jackson",Clarkson Potter,,,,,,,,,
1786071843,book,hardcover,Black Tudors: The Untold Story,Miranda Kaufmann,Oneworld Publications,,,,,,,,,
B000RRWJXW,book,hardcover,Conquerors' Pride,Timothy Zahn,Bantam,,,,,,,,,
370662575X,book,hardcover,Fermentieren,"Kirsten K. Shockey, Christopher Shockey, Erin Kunkel, Sabine Schlimm, Bettina Snowdon",Edition Loewenzahn,,,,,,,,,
1101885718,book,hardcover,Alton Brown: EveryDayCook,Alton Brown,Ballantine Books,,,,,,,,,
1501177729,book,hardcover,The Unmaking of the President 2016: How FBI Director James Comey Cost Hillary Clinton the Presidency,Lanny J. Davis,Scribner,,,,,,,,,
62273205,book,hardcover,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,HarperBusiness,,,,,,,,,
1473611741,book,hardcover,Unthinkable: An Extraordinary Journey Through the World's Strangest Brains,Helen Thomson,John Murray Publishers Ltd,,,,,,,,,
803738323,book,hardcover,Nerve,Jeanne Ryan,Dial,,,,,,,,,
039917589X,book,hardcover,Monsterland,James Crowley,G.P. Putnam's Sons Books for Young Readers,,,,,,,,,
3841902553,book,hardcover,Backen mit Love,"Achim Fettig, Andrea Stolzenberger",EDEL,,,,,,,,,
1492636088,book,hardcover,The Hundred Lies of Lizzie Lovett,Chelsea Sedoti,Sourcebooks Fire,,,,,,,,,
241208440,book,hardcover,The Mind is Flat,NICK CHATER,Penguin,,,,,,,,,
91943612,book,hardcover,Granniesinc Guide to Knitting: Learn Tips & Techniques from the Best,Katie Mowat,Ebury Press,,,,,,,,,
1944903003,book,hardcover,Treasured Lands: A Photographic Odyssey Through America's National Parks,"Q.T. Luong, Dayton Duncan",Cameron + Company,,,,,,,,,
241186722,book,hardcover,The Road to Character,David Brooks,Allen Lane,,,,,,,,,
226066258,book,hardcover,Holding On to Reality: The Nature of Information at the Turn of the Millennium,Albert Borgmann,University Of Chicago Press,,,,,,,,,
62270818,book,hardcover,Curiosity House: The Shrunken Head,"Lauren Oliver, H. C. Chester, Benjamin Lacombe",HarperCollins,,,,,,,,,
1420055720,book,hardcover,"Electric Machines: Steady State, Transients, and Design with MATLAB®","Ion Boldea, Lucian Nicolae Tutelea",CRC Press,,,,,,,,,
1627794158,book,hardcover,"Goodbye Summer, Hello Autumn",Kenard Pak,Henry Holt and Co. (BYR),,,,,,,,,
718086953,book,hardcover,Good Good Father,"Chris Tomlin, Pat Barrett",Thomas Nelson,,,,,,,,,
470424133,book,hardcover,"Number Theory: A Lively Introduction with Proofs, Applications, and Stories","James Pommersheim, Tim Marks, Erica Flapan",Wiley,,,,,,,,,
1608872114,book,hardcover,Angry Birds: Hatching a Universe,"Danny Graydon, Mikael Hed",Insight Editions,,,,,,,,,
1439899177,book,hardcover,Los Angeles Police Department Meltdown: The Fall of the Professional-Reform Model of Policing (Advances in Police Theory and Practice),James Lasley,CRC Press,,,,,,,,,
145162607X,book,hardcover,The Kingmaker's Daughter (The Cousins' War),Philippa Gregory,Touchstone,,,,,,,,,
691161828,book,hardcover,The Copyright Wars: Three Centuries of Trans-Atlantic Battle,Peter Baldwin,Princeton University Press,,,,,,,,,
1101946733,book,hardcover,Séance Infernale: A novel,Jonathan Skariton,Knopf,,,,,,,,,
399583998,book,hardcover,"Dark Legacy (Carpathian Novel, A)",Christine Feehan,Berkley,,,,,,,,,
3407792913,book,hardcover,Der Grüffelo,"Axel Scheffler, Julia Donaldson",Beltz,,,,,,,,,
62442562,book,hardcover,Every Little Step: My Story,"Bobby Brown, Nick Chiles",Dey Street Books,,,,,,,,,
9176374351,book,hardcover,This Side of Paradise (Wisehouse Classics Edition) (2016),F Scott Fitzgerald,Wisehouse Classics,,,,,,,,,
3426197820,book,hardcover,Das Kind,Sebastian Fitzek,Droemer Verlag,,,,,,,,,
022640708X,book,hardcover,Seven Ways of Looking at Pointless Suffering: What Philosophy Can Tell Us about the Hardest Mystery of All,Scott Samuelson,University Of Chicago Press,,,,,,,,,
691145539,book,hardcover,Discrete and Computational Geometry,"Satyan L. Devadoss, Joseph O'Rourke",Princeton University Press,,,,,,,,,
1599540614,book,hardcover,The Blue Light of Dawn,"Joanne Monte, Rosanna Masiola",Bordighera Press,,,,,,,,,
141340118,book,hardcover,Jolly Christmas Postman (Jolly Postman),"Allan Ahlberg, Janet Ahlberg",Viking,,,,,,,,,
1629990922,book,hardcover,The Promises of God Creative Journaling Bible: Modern English Version (MEV),Passio,Passio,,,,,,,,,
1501172603,book,hardcover,The Grandmaster: Magnus Carlsen and the Match That Made Chess Great Again,Brin-Jonathan Butler,Simon & Schuster,,,,,,,,,
1501150839,book,hardcover,Selection Day: A Novel,Aravind Adiga,Scribner,,,,,,,,,
136119417,book,hardcover,Operations Management (10th Edition),"Jay Heizer, Barry Render",Prentice Hall,,,,,,,,,
1405175214,book,hardcover,Steel Detailers' Manual,"Alan Hayward, Frank Weare, A. C. Oakhill",Wiley-Blackwell,,,,,,,,,
1503954420,book,hardcover,Bandwidth (An Analog Novel),Eliot Peper,47North,,,,,,,,,
3841904750,book,hardcover,Weihnachten im rosa Haus,Andrea Stolzenberger,Edel,,,,,,,,,
3540927832,book,hardcover,Evolutionary Psychology in the Business Sciences,Gad Saad,Springer,,,,,,,,,
1581573278,book,hardcover,"Art of the Pie: A Practical Guide to Homemade Crusts, Fillings, and Life","Kate McDermott, Andrew Scrivani",Countryman Press,,,,,,,,,
451495322,book,hardcover,The Girl Who Smiled Beads: A Story of War and What Comes After,"Clemantine Wamariya, Elizabeth Weil",Crown,,,,,,,,,
1260026671,book,hardcover,Cryptoassets: The Innovative Investor's Guide to Bitcoin and Beyond,"Chris Burniske, Jack Tatar",McGraw-Hill Education,,,,,,,,,
159253578X,book,hardcover,Brand Identity Essentials: 100 Principles for Designing Logos and Building Brands,"Kevin Budelmann, Yang Kim, Curt Wozniak",Rockport Publishers,,,,,,,,,
110187094X,book,hardcover,Word by Word: The Secret Life of Dictionaries,Kory Stamper,Pantheon,,,,,,,,,
1772260916,book,hardcover,Sounds for Kids age 1-3 (Engage Early Readers: Children's Learning Books) with FREE EBOOK,"Dayna Martin, A.R. Roumanis",Engage Books,,,,,,,,,
3832794719,book,hardcover,New York Rooftop Gardens,Charles de Vaivre,teNeues,,,,,,,,,
1118140982,book,hardcover,How Great Leaders Think: The Art of Reframing,"Lee G. Bolman, Terrence E. Deal",Jossey-Bass,,,,,,,,,
1432825712,book,hardcover,The Devil's Bones (Five Star Mystery Series),Larry D. Sweazy,Five Star,,,,,,,,,
753548275,book,hardcover,"Option B: Facing Adversity, Building Resilience and Finding Joy","Sheryl Sandberg, Adam Grant",W H Allen,,,,,,,,,
307975878,book,hardcover,The Big Purple Book of Beginner Books,"P.D. Eastman, Peter Eastman, Helen Palmer, Michael Frith",Random House Books for Young Readers,,,,,,,,,
3959720726,book,hardcover,Der Draghi-Crash,Markus Krall,Finanzbuch Verlag Gmbh,,,,,,,,,
199744505,book,hardcover,Why Does College Cost So Much?,"Robert B. Archibald, David H. Feldman","Oxford University Press, USA",,,,,,,,,
1481490141,book,hardcover,Sven Carter & the Trashmouth Effect (MAX),Rob Vlock,Aladdin,,,,,,,,,
593078756,book,hardcover,Origin: (Robert Langdon Book 5),Dan Brown,Bantam Press,,,,,,,,,
067402494X,book,hardcover,Self-Consciousness,Sebastian Rödl,Harvard University Press,,,,,,,,,
393635228,book,hardcover,Because: A Lyric Memoir,Joshua Mensch,W. W. Norton & Company,,,,,,,,,
718092082,book,hardcover,Hunting Charles Manson: The Quest for Justice in the Days of Helter Skelter,"Lis Wiehl, Caitlin Rother",Thomas Nelson,,,,,,,,,
375503587,book,hardcover,Electroboy: A Memoir of Mania,Andy Behrman,Random House,,,,,,,,,
